,movie,year,imdb,metascore,votes,n_imdb
2944,Nocturnal Animals,2016,7.5,67,221755,75.0
2945,Sully,2016,7.4,74,221133,74.0
2946,Star Trek Beyond,2016,7.1,68,218830,71.0
2947,The Conjuring 2,2016,7.3,65,211456,73.0
2948,Don't Breathe,2016,7.1,71,204240,71.0
2949,Jason Bourne,2016,6.6,58,199354,66.0
2950,Lion,2016,8.0,69,197622,80.0
2951,Ghostbusters,2016,5.2,60,196240,52.0
2952,Me Before You,2016,7.4,51,191780,74.0
2953,Hell or High Water,2016,7.6,88,190896,76.0
2954,Hidden Figures,2016,7.8,74,185764,78.0
2955,The Magnificent Seven,2016,6.9,54,177026,69.0
2956,Assassin's Creed,2016,5.7,36,176462,57.0
2957,The Secret Life of Pets,2016,6.5,61,175117,65.0
2958,Captain Fantastic,2016,7.9,72,173930,79.0
2959,Sausage Party,2016,6.1,66,167699,61.0
2960,War Dogs,2016,7.1,57,166098,71.0
2961,The Promise,2016,5.9,49,166035,59.0
2962,Your Name.,2016,8.4,79,163469,84.0
2963,The Girl on the Train,2016,6.5,48,160797,65.0
2964,Independence Day: Resurgence,2016,5.2,32,160768,52.0
2965,The Legend of Tarzan,2016,6.2,44,157389,62.0
2966,Central Intelligence,2016,6.3,52,149730,63.0
2967,Deadpool,2016,8.0,65,865253,80.0
2968,Captain America: Civil War,2016,7.8,75,627108,78.0
2969,Batman v Superman: Dawn of Justice,2016,6.5,44,600877,65.0
2970,Suicide Squad,2016,6.0,40,572685,60.0
2971,Doctor Strange,2016,7.5,72,560997,75.0
2972,Arrival,2016,7.9,81,556747,79.0
2973,Rogue One: A Star Wars Story,2016,7.8,65,524421,78.0
2974,La La Land,2016,8.0,94,471289,80.0
2975,Zootopia,2016,8.0,78,409309,80.0
2976,Hacksaw Ridge,2016,8.1,71,401459,81.0
2977,Split,2016,7.3,62,396427,73.0
2978,Fantastic Beasts and Where to Find Them,2016,7.3,66,388446,73.0
2979,X-Men: Apocalypse,2016,6.9,52,376821,69.0
2980,Passengers,2016,7.0,41,330573,70.0
2981,10 Cloverfield Lane,2016,7.2,76,276266,72.0
2982,The Nice Guys,2016,7.4,70,259014,74.0
2983,Moonlight,2016,7.4,99,251598,74.0
2984,The Jungle Book,2016,7.4,77,250566,74.0
2985,Moana,2016,7.6,81,248144,76.0
2986,The Accountant,2016,7.3,51,247056,73.0
2987,Warcraft,2016,6.8,32,234687,68.0
2988,Now You See Me 2,2016,6.5,46,232663,65.0
2989,Manchester by the Sea,2016,7.8,96,230577,78.0
2990,Finding Dory,2016,7.3,77,227100,73.0
2991,Nocturnal Animals,2016,7.5,67,221755,75.0
2992,Sully,2016,7.4,74,221133,74.0
2993,Star Trek Beyond,2016,7.1,68,218830,71.0
2994,The Conjuring 2,2016,7.3,65,211456,73.0
2995,Don't Breathe,2016,7.1,71,204240,71.0
2996,Jason Bourne,2016,6.6,58,199354,66.0
2997,Lion,2016,8.0,69,197622,80.0
2998,Ghostbusters,2016,5.2,60,196240,52.0
2999,Me Before You,2016,7.4,51,191780,74.0
3000,Hell or High Water,2016,7.6,88,190896,76.0
3001,Hidden Figures,2016,7.8,74,185764,78.0
3002,The Magnificent Seven,2016,6.9,54,177026,69.0
3003,Assassin's Creed,2016,5.7,36,176462,57.0
3004,The Secret Life of Pets,2016,6.5,61,175117,65.0
3005,Captain Fantastic,2016,7.9,72,173934,79.0
3006,Sausage Party,2016,6.1,66,167699,61.0
3007,War Dogs,2016,7.1,57,166098,71.0
3008,The Promise,2016,5.9,49,166035,59.0
3009,Your Name.,2016,8.4,79,163469,84.0
3010,The Girl on the Train,2016,6.5,48,160797,65.0
3011,Independence Day: Resurgence,2016,5.2,32,160768,52.0
3012,The Legend of Tarzan,2016,6.2,44,157389,62.0
3013,Central Intelligence,2016,6.3,52,149730,63.0
3014,Deadpool,2016,8.0,65,865253,80.0
3015,Captain America: Civil War,2016,7.8,75,627108,78.0
3016,Batman v Superman: Dawn of Justice,2016,6.5,44,600877,65.0
3017,Suicide Squad,2016,6.0,40,572685,60.0
3018,Doctor Strange,2016,7.5,72,560997,75.0
3019,Arrival,2016,7.9,81,556747,79.0
3020,Rogue One: A Star Wars Story,2016,7.8,65,524421,78.0
3021,La La Land,2016,8.0,94,471289,80.0
3022,Zootopia,2016,8.0,78,409309,80.0
3023,Hacksaw Ridge,2016,8.1,71,401459,81.0
3024,Split,2016,7.3,62,396427,73.0
3025,Fantastic Beasts and Where to Find Them,2016,7.3,66,388446,73.0
3026,X-Men: Apocalypse,2016,6.9,52,376821,69.0
3027,Passengers,2016,7.0,41,330573,70.0
3028,10 Cloverfield Lane,2016,7.2,76,276266,72.0
3029,The Nice Guys,2016,7.4,70,259014,74.0
3030,Moonlight,2016,7.4,99,251598,74.0
3031,The Jungle Book,2016,7.4,77,250566,74.0
3032,Moana,2016,7.6,81,248144,76.0
3033,The Accountant,2016,7.3,51,247056,73.0
3034,Warcraft,2016,6.8,32,234687,68.0
3035,Now You See Me 2,2016,6.5,46,232663,65.0
3036,Manchester by the Sea,2016,7.8,96,230577,78.0
3037,Finding Dory,2016,7.3,77,227100,73.0
3038,Nocturnal Animals,2016,7.5,67,221755,75.0
3039,Sully,2016,7.4,74,221133,74.0
3040,Star Trek Beyond,2016,7.1,68,218833,71.0
3041,The Conjuring 2,2016,7.3,65,211456,73.0
3042,Don't Breathe,2016,7.1,71,204240,71.0
3043,Jason Bourne,2016,6.6,58,199354,66.0
3044,Lion,2016,8.0,69,197622,80.0
3045,Ghostbusters,2016,5.2,60,196240,52.0
3046,Me Before You,2016,7.4,51,191780,74.0
3047,Hell or High Water,2016,7.6,88,190896,76.0
3048,Hidden Figures,2016,7.8,74,185764,78.0
3049,The Magnificent Seven,2016,6.9,54,177026,69.0
3050,Assassin's Creed,2016,5.7,36,176462,57.0
3051,The Secret Life of Pets,2016,6.5,61,175117,65.0
3052,Captain Fantastic,2016,7.9,72,173934,79.0
3053,Sausage Party,2016,6.1,66,167699,61.0
3054,War Dogs,2016,7.1,57,166098,71.0
3055,The Promise,2016,5.9,49,166035,59.0
3056,Your Name.,2016,8.4,79,163469,84.0
3057,The Girl on the Train,2016,6.5,48,160797,65.0
3058,Independence Day: Resurgence,2016,5.2,32,160768,52.0
3059,The Legend of Tarzan,2016,6.2,44,157389,62.0
3060,Central Intelligence,2016,6.3,52,149730,63.0
3061,Deadpool,2016,8.0,65,865253,80.0
3062,Captain America: Civil War,2016,7.8,75,627108,78.0
3063,Batman v Superman: Dawn of Justice,2016,6.5,44,600877,65.0
3064,Suicide Squad,2016,6.0,40,572685,60.0
3065,Doctor Strange,2016,7.5,72,560997,75.0
3066,Arrival,2016,7.9,81,556747,79.0
3067,Rogue One: A Star Wars Story,2016,7.8,65,524421,78.0
3068,La La Land,2016,8.0,94,471289,80.0
3069,Zootopia,2016,8.0,78,409309,80.0
3070,Hacksaw Ridge,2016,8.1,71,401459,81.0
3071,Split,2016,7.3,62,396427,73.0
3072,Fantastic Beasts and Where to Find Them,2016,7.3,66,388446,73.0
3073,X-Men: Apocalypse,2016,6.9,52,376821,69.0
3074,Passengers,2016,7.0,41,330573,70.0
3075,10 Cloverfield Lane,2016,7.2,76,276266,72.0
3076,The Nice Guys,2016,7.4,70,259014,74.0
3077,Moonlight,2016,7.4,99,251598,74.0
3078,The Jungle Book,2016,7.4,77,250566,74.0
3079,Moana,2016,7.6,81,248144,76.0
3080,The Accountant,2016,7.3,51,247056,73.0
3081,Warcraft,2016,6.8,32,234687,68.0
3082,Now You See Me 2,2016,6.5,46,232663,65.0
3083,Manchester by the Sea,2016,7.8,96,230577,78.0
3084,Finding Dory,2016,7.3,77,227100,73.0
3085,Nocturnal Animals,2016,7.5,67,221755,75.0
3086,Sully,2016,7.4,74,221133,74.0
3087,Star Trek Beyond,2016,7.1,68,218833,71.0
3088,The Conjuring 2,2016,7.3,65,211456,73.0
3089,Don't Breathe,2016,7.1,71,204240,71.0
3090,Jason Bourne,2016,6.6,58,199354,66.0
3091,Lion,2016,8.0,69,197622,80.0
3092,Ghostbusters,2016,5.2,60,196240,52.0
3093,Me Before You,2016,7.4,51,191780,74.0
3094,Hell or High Water,2016,7.6,88,190896,76.0
3095,Hidden Figures,2016,7.8,74,185764,78.0
3096,The Magnificent Seven,2016,6.9,54,177026,69.0
3097,Assassin's Creed,2016,5.7,36,176462,57.0
3098,The Secret Life of Pets,2016,6.5,61,175117,65.0
3099,Captain Fantastic,2016,7.9,72,173934,79.0
3100,Sausage Party,2016,6.1,66,167699,61.0
3101,War Dogs,2016,7.1,57,166098,71.0
3102,The Promise,2016,5.9,49,166035,59.0
3103,Your Name.,2016,8.4,79,163469,84.0
3104,The Girl on the Train,2016,6.5,48,160797,65.0
3105,Independence Day: Resurgence,2016,5.2,32,160768,52.0
3106,The Legend of Tarzan,2016,6.2,44,157389,62.0
3107,Central Intelligence,2016,6.3,52,149730,63.0
3108,Logan,2017,8.1,77,607969,81.0
3109,Thor: Ragnarok,2017,7.9,74,541696,79.0
3110,Guardians of the Galaxy Vol. 2,2017,7.6,67,531714,76.0
3111,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,531297,70.0
3112,Wonder Woman,2017,7.4,76,522642,74.0
3113,Dunkirk,2017,7.9,94,509748,79.0
3114,Spider-Man: Homecoming,2017,7.4,73,477578,74.0
3115,Get Out,2017,7.7,85,452571,77.0
3116,It,2017,7.3,69,427875,73.0
3117,Blade Runner 2049,2017,8.0,81,422475,80.0
3118,Baby Driver,2017,7.6,86,404597,76.0
3119,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,391309,82.0
3120,Justice League,2017,6.4,45,358231,64.0
3121,The Shape of Water,2017,7.3,87,344305,73.0
3122,John Wick: Chapter 2,2017,7.5,75,338006,75.0
3123,Coco,2017,8.4,81,330029,84.0
3124,Jumanji: Welcome to the Jungle,2017,6.9,58,295246,69.0
3125,Beauty and the Beast,2017,7.1,65,256549,71.0
3126,Kong: Skull Island,2017,6.6,62,255330,66.0
3127,Kingsman: The Golden Circle,2017,6.7,44,253131,67.0
3128,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,246012,66.0
3129,Alien: Covenant,2017,6.4,65,241729,64.0
3130,The Greatest Showman,2017,7.6,48,217553,76.0
3131,War for the Planet of the Apes,2017,7.4,82,215729,74.0
3132,Lady Bird,2017,7.4,94,211257,74.0
3133,Murder on the Orient Express,2017,6.5,52,195642,65.0
3134,Life,2017,6.6,54,195359,66.0
3135,The Fate of the Furious,2017,6.7,56,193837,67.0
3136,Ghost in the Shell,2017,6.3,52,187582,63.0
3137,Wind River,2017,7.7,73,186955,77.0
3138,Call Me by Your Name,2017,7.9,93,184308,79.0
3139,King Arthur: Legend of the Sword,2017,6.7,41,181269,67.0
3140,Mother!,2017,6.6,75,176905,66.0
3141,The Hitman's Bodyguard,2017,6.9,47,175761,69.0
3142,The Mummy,2017,5.4,34,165120,54.0
3143,Atomic Blonde,2017,6.7,63,164678,67.0
3144,"I, Tonya",2017,7.5,77,164339,75.0
3145,Bright,2017,6.3,29,159532,63.0
3146,Darkest Hour,2017,7.4,75,156591,74.0
3147,Valerian and the City of a Thousand Planets,2017,6.5,51,153041,65.0
3148,Baywatch,2017,5.5,37,151194,55.0
3149,American Made,2017,7.1,65,147467,71.0
3150,Logan,2017,8.1,77,607969,81.0
3151,Thor: Ragnarok,2017,7.9,74,541696,79.0
3152,Guardians of the Galaxy Vol. 2,2017,7.6,67,531714,76.0
3153,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,531297,70.0
3154,Wonder Woman,2017,7.4,76,522642,74.0
3155,Dunkirk,2017,7.9,94,509748,79.0
3156,Spider-Man: Homecoming,2017,7.4,73,477578,74.0
3157,Get Out,2017,7.7,85,452571,77.0
3158,It,2017,7.3,69,427875,73.0
3159,Blade Runner 2049,2017,8.0,81,422475,80.0
3160,Baby Driver,2017,7.6,86,404597,76.0
3161,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,391309,82.0
3162,Justice League,2017,6.4,45,358231,64.0
3163,The Shape of Water,2017,7.3,87,344305,73.0
3164,John Wick: Chapter 2,2017,7.5,75,338006,75.0
3165,Coco,2017,8.4,81,330029,84.0
3166,Jumanji: Welcome to the Jungle,2017,6.9,58,295246,69.0
3167,Beauty and the Beast,2017,7.1,65,256549,71.0
3168,Kong: Skull Island,2017,6.6,62,255330,66.0
3169,Kingsman: The Golden Circle,2017,6.7,44,253131,67.0
3170,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,246012,66.0
3171,Alien: Covenant,2017,6.4,65,241729,64.0
3172,The Greatest Showman,2017,7.6,48,217553,76.0
3173,War for the Planet of the Apes,2017,7.4,82,215729,74.0
3174,Lady Bird,2017,7.4,94,211257,74.0
3175,Murder on the Orient Express,2017,6.5,52,195642,65.0
3176,Life,2017,6.6,54,195359,66.0
3177,The Fate of the Furious,2017,6.7,56,193837,67.0
3178,Ghost in the Shell,2017,6.3,52,187582,63.0
3179,Wind River,2017,7.7,73,186955,77.0
3180,Call Me by Your Name,2017,7.9,93,184308,79.0
3181,King Arthur: Legend of the Sword,2017,6.7,41,181269,67.0
3182,Mother!,2017,6.6,75,176905,66.0
3183,The Hitman's Bodyguard,2017,6.9,47,175761,69.0
3184,The Mummy,2017,5.4,34,165120,54.0
3185,Atomic Blonde,2017,6.7,63,164678,67.0
3186,"I, Tonya",2017,7.5,77,164339,75.0
3187,Bright,2017,6.3,29,159532,63.0
3188,Darkest Hour,2017,7.4,75,156591,74.0
3189,Valerian and the City of a Thousand Planets,2017,6.5,51,153041,65.0
3190,Baywatch,2017,5.5,37,151194,55.0
3191,American Made,2017,7.1,65,147467,71.0
3192,Logan,2017,8.1,77,607969,81.0
3193,Thor: Ragnarok,2017,7.9,74,541696,79.0
3194,Guardians of the Galaxy Vol. 2,2017,7.6,67,531714,76.0
3195,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,531297,70.0
3196,Wonder Woman,2017,7.4,76,522642,74.0
3197,Dunkirk,2017,7.9,94,509748,79.0
3198,Spider-Man: Homecoming,2017,7.4,73,477578,74.0
3199,Get Out,2017,7.7,85,452571,77.0
3200,It,2017,7.3,69,427875,73.0
3201,Blade Runner 2049,2017,8.0,81,422475,80.0
3202,Baby Driver,2017,7.6,86,404597,76.0
3203,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,391309,82.0
3204,Justice League,2017,6.4,45,358231,64.0
3205,The Shape of Water,2017,7.3,87,344305,73.0
3206,John Wick: Chapter 2,2017,7.5,75,338006,75.0
3207,Coco,2017,8.4,81,330029,84.0
3208,Jumanji: Welcome to the Jungle,2017,6.9,58,295246,69.0
3209,Beauty and the Beast,2017,7.1,65,256549,71.0
3210,Kong: Skull Island,2017,6.6,62,255330,66.0
3211,Kingsman: The Golden Circle,2017,6.7,44,253135,67.0
3212,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,246012,66.0
3213,Alien: Covenant,2017,6.4,65,241729,64.0
3214,The Greatest Showman,2017,7.6,48,217553,76.0
3215,War for the Planet of the Apes,2017,7.4,82,215729,74.0
3216,Lady Bird,2017,7.4,94,211257,74.0
3217,Murder on the Orient Express,2017,6.5,52,195642,65.0
3218,Life,2017,6.6,54,195359,66.0
3219,The Fate of the Furious,2017,6.7,56,193837,67.0
3220,Ghost in the Shell,2017,6.3,52,187582,63.0
3221,Wind River,2017,7.7,73,186955,77.0
3222,Call Me by Your Name,2017,7.9,93,184308,79.0
3223,King Arthur: Legend of the Sword,2017,6.7,41,181269,67.0
3224,Mother!,2017,6.6,75,176905,66.0
3225,The Hitman's Bodyguard,2017,6.9,47,175761,69.0
3226,The Mummy,2017,5.4,34,165120,54.0
3227,Atomic Blonde,2017,6.7,63,164678,67.0
3228,"I, Tonya",2017,7.5,77,164339,75.0
3229,Bright,2017,6.3,29,159532,63.0
3230,Darkest Hour,2017,7.4,75,156591,74.0
3231,Valerian and the City of a Thousand Planets,2017,6.5,51,153041,65.0
3232,Baywatch,2017,5.5,37,151194,55.0
3233,American Made,2017,7.1,65,147467,71.0
3234,Logan,2017,8.1,77,607969,81.0
3235,Thor: Ragnarok,2017,7.9,74,541696,79.0
3236,Guardians of the Galaxy Vol. 2,2017,7.6,67,531714,76.0
3237,Star Wars: Episode VIII - The Last Jedi,2017,7.0,85,531297,70.0
3238,Wonder Woman,2017,7.4,76,522642,74.0
3239,Dunkirk,2017,7.9,94,509748,79.0
3240,Spider-Man: Homecoming,2017,7.4,73,477578,74.0
3241,Get Out,2017,7.7,85,452571,77.0
3242,It,2017,7.3,69,427875,73.0
3243,Blade Runner 2049,2017,8.0,81,422475,80.0
3244,Baby Driver,2017,7.6,86,404597,76.0
3245,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,391309,82.0
3246,Justice League,2017,6.4,45,358231,64.0
3247,The Shape of Water,2017,7.3,87,344305,73.0
3248,John Wick: Chapter 2,2017,7.5,75,338006,75.0
3249,Coco,2017,8.4,81,330029,84.0
3250,Jumanji: Welcome to the Jungle,2017,6.9,58,295219,69.0
3251,Beauty and the Beast,2017,7.1,65,256549,71.0
3252,Kong: Skull Island,2017,6.6,62,255330,66.0
3253,Kingsman: The Golden Circle,2017,6.7,44,253135,67.0
3254,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,246012,66.0
3255,Alien: Covenant,2017,6.4,65,241729,64.0
3256,The Greatest Showman,2017,7.6,48,217553,76.0
3257,War for the Planet of the Apes,2017,7.4,82,215729,74.0
3258,Lady Bird,2017,7.4,94,211257,74.0
3259,Murder on the Orient Express,2017,6.5,52,195642,65.0
3260,Life,2017,6.6,54,195359,66.0
3261,The Fate of the Furious,2017,6.7,56,193837,67.0
3262,Ghost in the Shell,2017,6.3,52,187582,63.0
3263,Wind River,2017,7.7,73,186955,77.0
3264,Call Me by Your Name,2017,7.9,93,184308,79.0
3265,King Arthur: Legend of the Sword,2017,6.7,41,181269,67.0
3266,Mother!,2017,6.6,75,176905,66.0
3267,The Hitman's Bodyguard,2017,6.9,47,175761,69.0
3268,The Mummy,2017,5.4,34,165120,54.0
3269,Atomic Blonde,2017,6.7,63,164678,67.0
3270,"I, Tonya",2017,7.5,77,164339,75.0
3271,Bright,2017,6.3,29,159532,63.0
3272,Darkest Hour,2017,7.4,75,156591,74.0
3273,Valerian and the City of a Thousand Planets,2017,6.5,51,153041,65.0
3274,Baywatch,2017,5.5,37,151194,55.0
3275,American Made,2017,7.1,65,147467,71.0
3276,Avengers: Infinity War,2018,8.5,68,760824,85.0
3277,Black Panther,2018,7.3,88,573259,73.0
3278,Deadpool 2,2018,7.7,66,443156,77.0
3279,Bohemian Rhapsody,2018,8.0,49,416948,80.0
3280,A Quiet Place,2018,7.5,82,372273,75.0
3281,Ready Player One,2018,7.5,64,337553,75.0
3282,Aquaman,2018,7.0,55,332301,70.0
3283,Venom,2018,6.7,35,327049,67.0
3284,Green Book,2018,8.2,69,308558,82.0
3285,Spider-Man: Into the Spider-Verse,2018,8.4,87,307778,84.0
3286,A Star Is Born,2018,7.7,88,303201,77.0
3287,Ant-Man and the Wasp,2018,7.1,70,281910,71.0
3288,Mission: Impossible - Fallout,2018,7.7,86,267642,77.0
3289,Solo: A Star Wars Story,2018,6.9,62,265286,69.0
3290,Annihilation,2018,6.9,79,258632,69.0
3291,Bird Box,2018,6.6,51,252659,66.0
3292,Jurassic World: Fallen Kingdom,2018,6.2,51,244596,62.0
3293,Incredibles 2,2018,7.6,80,229725,76.0
3294,Hereditary,2018,7.3,87,201621,73.0
3295,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,198505,66.0
3296,Game Night,2018,6.9,66,186711,69.0
3297,BlacKkKlansman,2018,7.5,83,184262,75.0
3298,Tomb Raider,2018,6.3,48,179918,63.0
3299,Ocean's Eight,2018,6.2,61,165153,62.0
3300,Red Sparrow,2018,6.6,53,153726,66.0
3301,The Favourite,2018,7.6,90,153653,76.0
3302,First Man,2018,7.3,84,149376,73.0
3303,The Meg,2018,5.7,46,132568,57.0
3304,Upgrade,2018,7.5,67,131751,75.0
3305,Rampage,2018,6.1,45,131287,61.0
3306,Roma,2018,7.7,96,127311,77.0
3307,Isle of Dogs,2018,7.9,82,125857,79.0
3308,Searching,2018,7.6,71,122151,76.0
3309,Bumblebee,2018,6.8,66,121859,68.0
3310,Crazy Rich Asians,2018,6.9,74,121769,69.0
3311,Ralph Breaks the Internet,2018,7.1,71,116315,71.0
3312,The Equalizer 2,2018,6.7,50,116162,67.0
3313,Bad Times at the El Royale,2018,7.1,60,115380,71.0
3314,Sicario: Day of the Soldado,2018,7.1,61,112149,71.0
3315,A Simple Favor,2018,6.8,67,110124,68.0
3316,The Predator,2018,5.4,48,108424,54.0
3317,Halloween,2018,6.6,67,107425,66.0
3318,The Ballad of Buster Scruggs,2018,7.3,79,106774,73.0
3319,The Nun,2018,5.3,46,106592,53.0
3320,Vice,2018,7.2,61,104957,72.0
3321,Maze Runner: The Death Cure,2018,6.2,50,102114,62.0
3322,Avengers: Infinity War,2018,8.5,68,760824,85.0
3323,Black Panther,2018,7.3,88,573259,73.0
3324,Deadpool 2,2018,7.7,66,443156,77.0
3325,Bohemian Rhapsody,2018,8.0,49,416948,80.0
3326,A Quiet Place,2018,7.5,82,372273,75.0
3327,Ready Player One,2018,7.5,64,337553,75.0
3328,Aquaman,2018,7.0,55,332301,70.0
3329,Venom,2018,6.7,35,327049,67.0
3330,Green Book,2018,8.2,69,308558,82.0
3331,Spider-Man: Into the Spider-Verse,2018,8.4,87,307778,84.0
3332,A Star Is Born,2018,7.7,88,303201,77.0
3333,Ant-Man and the Wasp,2018,7.1,70,281910,71.0
3334,Mission: Impossible - Fallout,2018,7.7,86,267642,77.0
3335,Solo: A Star Wars Story,2018,6.9,62,265286,69.0
3336,Annihilation,2018,6.9,79,258610,69.0
3337,Bird Box,2018,6.6,51,252659,66.0
3338,Jurassic World: Fallen Kingdom,2018,6.2,51,244596,62.0
3339,Incredibles 2,2018,7.6,80,229725,76.0
3340,Hereditary,2018,7.3,87,201621,73.0
3341,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,198505,66.0
3342,Game Night,2018,6.9,66,186711,69.0
3343,BlacKkKlansman,2018,7.5,83,184262,75.0
3344,Tomb Raider,2018,6.3,48,179918,63.0
3345,Ocean's Eight,2018,6.2,61,165153,62.0
3346,Red Sparrow,2018,6.6,53,153726,66.0
3347,The Favourite,2018,7.6,90,153653,76.0
3348,First Man,2018,7.3,84,149376,73.0
3349,The Meg,2018,5.7,46,132568,57.0
3350,Upgrade,2018,7.5,67,131751,75.0
3351,Rampage,2018,6.1,45,131287,61.0
3352,Roma,2018,7.7,96,127311,77.0
3353,Isle of Dogs,2018,7.9,82,125857,79.0
3354,Searching,2018,7.6,71,122151,76.0
3355,Bumblebee,2018,6.8,66,121859,68.0
3356,Crazy Rich Asians,2018,6.9,74,121769,69.0
3357,Ralph Breaks the Internet,2018,7.1,71,116315,71.0
3358,The Equalizer 2,2018,6.7,50,116162,67.0
3359,Bad Times at the El Royale,2018,7.1,60,115380,71.0
3360,Sicario: Day of the Soldado,2018,7.1,61,112149,71.0
3361,A Simple Favor,2018,6.8,67,110124,68.0
3362,The Predator,2018,5.4,48,108424,54.0
3363,Halloween,2018,6.6,67,107425,66.0
3364,The Ballad of Buster Scruggs,2018,7.3,79,106774,73.0
3365,The Nun,2018,5.3,46,106592,53.0
3366,Vice,2018,7.2,61,104957,72.0
3367,Maze Runner: The Death Cure,2018,6.2,50,102114,62.0
3368,Avengers: Infinity War,2018,8.5,68,760824,85.0
3369,Black Panther,2018,7.3,88,573259,73.0
3370,Deadpool 2,2018,7.7,66,443156,77.0
3371,Bohemian Rhapsody,2018,8.0,49,416948,80.0
3372,A Quiet Place,2018,7.5,82,372273,75.0
3373,Ready Player One,2018,7.5,64,337553,75.0
3374,Aquaman,2018,7.0,55,332301,70.0
3375,Venom,2018,6.7,35,327049,67.0
3376,Green Book,2018,8.2,69,308558,82.0
3377,Spider-Man: Into the Spider-Verse,2018,8.4,87,307804,84.0
3378,A Star Is Born,2018,7.7,88,303201,77.0
3379,Ant-Man and the Wasp,2018,7.1,70,281910,71.0
3380,Mission: Impossible - Fallout,2018,7.7,86,267642,77.0
3381,Solo: A Star Wars Story,2018,6.9,62,265286,69.0
3382,Annihilation,2018,6.9,79,258632,69.0
3383,Bird Box,2018,6.6,51,252659,66.0
3384,Jurassic World: Fallen Kingdom,2018,6.2,51,244596,62.0
3385,Incredibles 2,2018,7.6,80,229725,76.0
3386,Hereditary,2018,7.3,87,201621,73.0
3387,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,198505,66.0
3388,Game Night,2018,6.9,66,186721,69.0
3389,BlacKkKlansman,2018,7.5,83,184262,75.0
3390,Tomb Raider,2018,6.3,48,179918,63.0
3391,Ocean's Eight,2018,6.2,61,165153,62.0
3392,Red Sparrow,2018,6.6,53,153726,66.0
3393,The Favourite,2018,7.6,90,153653,76.0
3394,First Man,2018,7.3,84,149376,73.0
3395,The Meg,2018,5.7,46,132568,57.0
3396,Upgrade,2018,7.5,67,131751,75.0
3397,Rampage,2018,6.1,45,131287,61.0
3398,Roma,2018,7.7,96,127311,77.0
3399,Isle of Dogs,2018,7.9,82,125857,79.0
3400,Searching,2018,7.6,71,122151,76.0
3401,Bumblebee,2018,6.8,66,121859,68.0
3402,Crazy Rich Asians,2018,6.9,74,121769,69.0
3403,Ralph Breaks the Internet,2018,7.1,71,116315,71.0
3404,The Equalizer 2,2018,6.7,50,116162,67.0
3405,Bad Times at the El Royale,2018,7.1,60,115380,71.0
3406,Sicario: Day of the Soldado,2018,7.1,61,112149,71.0
3407,A Simple Favor,2018,6.8,67,110124,68.0
3408,The Predator,2018,5.4,48,108424,54.0
3409,Halloween,2018,6.6,67,107425,66.0
3410,The Ballad of Buster Scruggs,2018,7.3,79,106774,73.0
3411,The Nun,2018,5.3,46,106592,53.0
3412,Vice,2018,7.2,61,104957,72.0
3413,Maze Runner: The Death Cure,2018,6.2,50,102114,62.0
3414,Avengers: Infinity War,2018,8.5,68,760824,85.0
3415,Black Panther,2018,7.3,88,573259,73.0
3416,Deadpool 2,2018,7.7,66,443156,77.0
3417,Bohemian Rhapsody,2018,8.0,49,416948,80.0
3418,A Quiet Place,2018,7.5,82,372273,75.0
3419,Ready Player One,2018,7.5,64,337553,75.0
3420,Aquaman,2018,7.0,55,332301,70.0
3421,Venom,2018,6.7,35,327049,67.0
3422,Green Book,2018,8.2,69,308516,82.0
3423,Spider-Man: Into the Spider-Verse,2018,8.4,87,307804,84.0
3424,A Star Is Born,2018,7.7,88,303201,77.0
3425,Ant-Man and the Wasp,2018,7.1,70,281910,71.0
3426,Mission: Impossible - Fallout,2018,7.7,86,267642,77.0
3427,Solo: A Star Wars Story,2018,6.9,62,265286,69.0
3428,Annihilation,2018,6.9,79,258632,69.0
3429,Bird Box,2018,6.6,51,252659,66.0
3430,Jurassic World: Fallen Kingdom,2018,6.2,51,244596,62.0
3431,Incredibles 2,2018,7.6,80,229725,76.0
3432,Hereditary,2018,7.3,87,201621,73.0
3433,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,198505,66.0
3434,Game Night,2018,6.9,66,186721,69.0
3435,BlacKkKlansman,2018,7.5,83,184262,75.0
3436,Tomb Raider,2018,6.3,48,179918,63.0
3437,Ocean's Eight,2018,6.2,61,165153,62.0
3438,Red Sparrow,2018,6.6,53,153726,66.0
3439,The Favourite,2018,7.6,90,153653,76.0
3440,First Man,2018,7.3,84,149376,73.0
3441,The Meg,2018,5.7,46,132568,57.0
3442,Upgrade,2018,7.5,67,131751,75.0
